"Gene Name","Protein IDs","H_vs_L_log2 fold change","H_vs_L_p.val","H_vs_L_p.adj","significant","H_vs_L_significant","imputed","num_NAs","Protein.names"
"ADSS","P30520",-0.488,0.0532,0.0836,FALSE,FALSE,FALSE,0,"Adenylosuccinate synthetase isozyme 2;Adenylosuccinate synthetase"
"AEN","Q8WTP8",1.02,0.343,0.399,FALSE,FALSE,TRUE,3,"Apoptosis-enhancing nuclease"
"AFAP1","Q8N556",-0.85,0.00102,0.00485,FALSE,FALSE,FALSE,0,"Actin filament-associated protein 1"
"AFF1","P51825",-2.25,0.0393,0.0656,FALSE,FALSE,TRUE,2,"AF4/FMR2 family member 1"
"AFG3L2","Q9Y4W6",-0.903,0.00212,0.00779,FALSE,FALSE,FALSE,0,"AFG3-like protein 2"
"AFTPH","B8ZZI9",-0.646,0.58,0.629,FALSE,FALSE,TRUE,3,"Aftiphilin"
"AGFG1","C9J2I0",-0.874,0.147,0.194,FALSE,FALSE,FALSE,0,"Arf-GAP domain and FG repeat-containing protein 1"
"AGK","E9PG39",1.98,0.119,0.163,FALSE,FALSE,TRUE,4,"Acylglycerol kinase, mitochondrial"
"AGMAT","Q9BSE5",-0.0478,0.783,0.815,FALSE,FALSE,FALSE,0,"Agmatinase, mitochondrial"
"AGTPBP1","Q9UPW5-2",-0.107,0.652,0.695,FALSE,FALSE,FALSE,0,"Cytosolic carboxypeptidase 1"
"AHCTF1","Q8WYP5",-0.554,0.0027,0.00923,FALSE,FALSE,FALSE,0,"Protein ELYS"
"AHCY","P23526",-0.664,0.00181,0.00704,FALSE,FALSE,FALSE,0,"Adenosylhomocysteinase"
"AHCYL1","O43865",-0.3,0.377,0.433,FALSE,FALSE,FALSE,0,"Putative adenosylhomocysteinase 2"
"AHNAK","Q09666",-0.507,0.00258,0.00891,FALSE,FALSE,FALSE,0,"Neuroblast differentiation-associated protein AHNAK"
"AHNAK2","Q8IVF2-3",-2.19,0.0667,0.1,FALSE,FALSE,TRUE,2,"Protein AHNAK2"
"ahpC","P0AE08",0.882,0.000337,0.00251,FALSE,FALSE,FALSE,0,"Alkyl hydroperoxide reductase subunit C"
"AHSA1","O95433",-0.637,0.00614,0.0162,FALSE,FALSE,FALSE,0,"Activator of 90 kDa heat shock protein ATPase homolog 1"
"AIFM1","O95831-3",-0.399,0.0243,0.0452,FALSE,FALSE,FALSE,0,"Apoptosis-inducing factor 1, mitochondrial"
"AIMP1","Q12904",-0.77,0.0116,0.0258,FALSE,FALSE,FALSE,0,"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2"
"AIMP2","F8W950",-0.946,0.000587,0.00345,FALSE,FALSE,FALSE,0,"Aminoacyl tRNA synthase complex-interacting multifunctional protein 2"
"AIP","O00170",-0.739,0.0035,0.011,FALSE,FALSE,FALSE,0,"AH receptor-interacting protein;Peptidyl-prolyl cis-trans isomerase"
"AK1","P00568",0.0942,0.788,0.82,FALSE,FALSE,FALSE,0,"Adenylate kinase isoenzyme 1"
"AK2","P54819-2",-0.802,0.00462,0.0133,FALSE,FALSE,FALSE,0,"Adenylate kinase 2, mitochondrial"
"AK3","Q9UIJ7",-1.13,0.0975,0.137,FALSE,FALSE,TRUE,1,"GTP:AMP phosphotransferase, mitochondrial"
"AK4","P27144",-0.664,0.0197,0.0386,FALSE,FALSE,FALSE,0,"Adenylate kinase isoenzyme 4, mitochondrial"
"AKAP13","H0YMW2",-0.542,0.52,0.571,FALSE,FALSE,FALSE,0,"A-kinase anchor protein 13"
"AKAP8","O43823",-0.603,0.118,0.16,FALSE,FALSE,TRUE,1,"A-kinase anchor protein 8"
"AKAP8L","Q9ULX6",-1.1,0.0302,0.0535,FALSE,FALSE,FALSE,0,"A-kinase anchor protein 8-like"
"AKR1A1","P14550",-0.562,0.0374,0.0632,FALSE,FALSE,FALSE,0,"Alcohol dehydrogenase [NADP(+)]"
"AKR1B1","P15121",-0.538,0.00488,0.0138,FALSE,FALSE,FALSE,0,"Aldose reductase"
"AKR1C3","P42330",-0.644,0.00146,0.00608,FALSE,FALSE,FALSE,0,"Aldo-keto reductase family 1 member C3;Aldo-keto reductase family 1 member C1"
"AKR7A2","O43488",-0.673,0.00181,0.00704,FALSE,FALSE,FALSE,0,"Aflatoxin B1 aldehyde reductase member 2"
"alaA","P0A959",-0.504,0.479,0.533,FALSE,FALSE,TRUE,3,"Glutamate-pyruvate aminotransferase AlaA"
"ALAD","P13716",0.0241,0.956,0.963,FALSE,FALSE,TRUE,1,"Delta-aminolevulinic acid dehydratase"
"ALAS1","B4DDG9",-1.06,0.155,0.203,FALSE,FALSE,TRUE,2,"5-aminolevulinate synthase, nonspecific, mitochondrial"
"aldA","P25553",0.929,0.000367,0.00262,FALSE,FALSE,FALSE,0,"Lactaldehyde dehydrogenase"
"ALDH16A1","Q8IZ83-3",-0.322,0.458,0.512,FALSE,FALSE,TRUE,1,"Aldehyde dehydrogenase family 16 member A1"
"ALDH18A1","P54886-2",-0.455,0.0211,0.0406,FALSE,FALSE,FALSE,0,"Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase"
"ALDH1B1","P30837",-0.572,0.146,0.193,FALSE,FALSE,FALSE,0,"Aldehyde dehydrogenase X, mitochondrial"
"ALDH3A1","I3L3I9",-1.08,0.129,0.173,FALSE,FALSE,TRUE,1,"Aldehyde dehydrogenase;Aldehyde dehydrogenase, dimeric NADP-preferring"
"ALDH3A2","P51648",-0.828,0.00252,0.00879,FALSE,FALSE,FALSE,0,"Fatty aldehyde dehydrogenase"
"ALDH7A1","P49419-2",-0.346,0.126,0.17,FALSE,FALSE,FALSE,0,"Alpha-aminoadipic semialdehyde dehydrogenase"
"ALDH9A1","P49189",-0.657,0.00111,0.00511,FALSE,FALSE,FALSE,0,"4-trimethylaminobutyraldehyde dehydrogenase"
"ALDOA","P04075",-0.774,0.000486,0.00307,FALSE,FALSE,FALSE,0,"Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase"
"ALDOC","P09972",-0.64,0.00735,0.0185,FALSE,FALSE,FALSE,0,"Fructose-bisphosphate aldolase C;Fructose-bisphosphate aldolase"
"ALG1","Q9BT22",-0.915,0.195,0.246,FALSE,FALSE,FALSE,0,"Chitobiosyldiphosphodolichol beta-mannosyltransferase"
"ALG6","Q9Y672",-1,0.00206,0.00764,FALSE,FALSE,TRUE,2,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase"
"ALKBH2","F5H5S2",-0.824,0.0166,0.0338,FALSE,FALSE,FALSE,0,"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2"
"ALKBH5","Q6P6C2-2",-0.71,0.0143,0.0302,FALSE,FALSE,FALSE,0,"Probable alpha-ketoglutarate-dependent dioxygenase ABH5"
"ALPI","P09923",-0.397,0.0345,0.0593,FALSE,FALSE,FALSE,0,"Intestinal-type alkaline phosphatase"
"ALYREF","Q86V81",-0.695,0.00779,0.0193,FALSE,FALSE,FALSE,0,"THO complex subunit 4"
"ampC","P00811",0.677,0.156,0.204,FALSE,FALSE,TRUE,1,"Beta-lactamase"
"AMPD2","Q01433-2",-0.028,0.907,0.923,FALSE,FALSE,FALSE,0,"AMP deaminase 2"
"ANAPC1","Q9H1A4",-0.485,0.0209,0.0404,FALSE,FALSE,FALSE,0,"Anaphase-promoting complex subunit 1"
"ANAPC2","Q9UJX6-2",-0.371,0.0263,0.048,FALSE,FALSE,FALSE,0,"Anaphase-promoting complex subunit 2"
"ANAPC4","Q9UJX5",-0.591,0.00501,0.0141,FALSE,FALSE,FALSE,0,"Anaphase-promoting complex subunit 4"
"ANAPC5","F5H0F9",-0.147,0.502,0.554,FALSE,FALSE,FALSE,0,"Anaphase-promoting complex subunit 5"
"ANAPC7","Q9UJX3-2",-0.386,0.0606,0.0929,FALSE,FALSE,FALSE,0,"Anaphase-promoting complex subunit 7"
"ANK3","Q12955",-1.57,0.115,0.157,FALSE,FALSE,TRUE,1,"Ankyrin-3"
"ANKFY1","F5H754",-0.643,0.0336,0.058,FALSE,FALSE,FALSE,0,"Ankyrin repeat and FYVE domain-containing protein 1"
"ANKHD1","E9PF56",-0.346,0.248,0.304,FALSE,FALSE,FALSE,0,"Ankyrin repeat and KH domain-containing protein 1"
"ANKRD11","Q6UB99",0.0874,0.538,0.589,FALSE,FALSE,FALSE,0,"Ankyrin repeat domain-containing protein 11"
"ANKRD17","H0YLQ3",-0.34,0.499,0.552,FALSE,FALSE,TRUE,4,"Ankyrin repeat domain-containing protein 17"
"ANKRD52","Q8NB46",-1.04,0.0654,0.0987,FALSE,FALSE,TRUE,1,"Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C"
"ANKZF1","B8ZZS4",-0.87,0.352,0.408,FALSE,FALSE,TRUE,3,"Ankyrin repeat and zinc finger domain-containing protein 1"
"ANLN","Q9NQW6-2",-0.646,0.00465,0.0134,FALSE,FALSE,FALSE,0,"Actin-binding protein anillin"
"ANP32A","H0YN26",-0.942,0.000869,0.00439,FALSE,FALSE,FALSE,0,"Acidic leucine-rich nuclear phosphoprotein 32 family member A"
"ANP32B","Q92688-2",-0.597,0.0116,0.0258,FALSE,FALSE,FALSE,0,"Acidic leucine-rich nuclear phosphoprotein 32 family member B"
"ANXA1","P04083",-0.723,0.000724,0.00392,FALSE,FALSE,FALSE,0,"Annexin A1"
"ANXA11","E9PDK5",-0.672,0.0034,0.0107,FALSE,FALSE,FALSE,0,"Annexin;Annexin A11"
"ANXA2","P07355",-0.879,0.000403,0.00276,FALSE,FALSE,FALSE,0,"Annexin A2;Annexin;Putative annexin A2-like protein"
"ANXA3","P12429",-0.703,0.00148,0.00614,FALSE,FALSE,FALSE,0,"Annexin A3;Annexin"
"ANXA4","Q6P452",-0.6,0.0052,0.0145,FALSE,FALSE,FALSE,0,"Annexin;Annexin A4"
"ANXA5","P08758",-0.387,0.01,0.0232,FALSE,FALSE,FALSE,0,"Annexin A5;Annexin"
"ANXA6","E9PGK1",-0.463,0.0245,0.0455,FALSE,FALSE,FALSE,0,"Annexin;Annexin A6"
"ANXA7","B4DT77",-0.739,0.00184,0.00709,FALSE,FALSE,FALSE,0,"Annexin;Annexin A7"
"AP1G1","O43747",-0.458,0.0683,0.102,FALSE,FALSE,FALSE,0,"AP-1 complex subunit gamma-1"
"AP1M1","E7ENJ6",-0.73,0.00169,0.00668,FALSE,FALSE,FALSE,0,"AP-1 complex subunit mu-1"
"AP1S1","P61966-2",-0.785,0.0639,0.0969,FALSE,FALSE,TRUE,1,"AP-1 complex subunit sigma-1A;AP-1 complex subunit sigma-2"
"AP2A1","O95782-2",-0.681,0.0021,0.00777,FALSE,FALSE,FALSE,0,"AP-2 complex subunit alpha-1"
"AP2A2","O94973",-0.273,0.0627,0.0954,FALSE,FALSE,FALSE,0,"AP-2 complex subunit alpha-2"
"AP2B1","P63010",-0.598,0.0017,0.0067,FALSE,FALSE,FALSE,0,"AP-2 complex subunit beta"
"AP2M1","Q96CW1-2",-0.586,0.0128,0.0278,FALSE,FALSE,FALSE,0,"AP-2 complex subunit mu"
"AP2S1","P53680",-0.24,0.0884,0.127,FALSE,FALSE,FALSE,0,"AP-2 complex subunit sigma"
"AP3B1","E5RJ68",-0.626,0.00749,0.0188,FALSE,FALSE,FALSE,0,"AP-3 complex subunit beta-1"
"AP3D1","O14617-4",-0.604,0.00212,0.0078,FALSE,FALSE,FALSE,0,"AP-3 complex subunit delta-1"
"AP3M1","Q9Y2T2",-0.585,0.013,0.0281,FALSE,FALSE,FALSE,0,"AP-3 complex subunit mu-1"
"AP3S1","Q92572",-0.953,0.112,0.154,FALSE,FALSE,TRUE,4,"AP-3 complex subunit sigma-1"
"APEH","P13798",-0.362,0.103,0.143,FALSE,FALSE,FALSE,0,"Acylamino-acid-releasing enzyme"
"API5","Q9BZZ5-2",-0.688,0.000759,0.00403,FALSE,FALSE,FALSE,0,"Apoptosis inhibitor 5"
"APIP","Q96GX9",-0.0479,0.835,0.861,FALSE,FALSE,FALSE,0,"Probable methylthioribulose-1-phosphate dehydratase"
"APLP2","F5GZY0",1.3,0.526,0.577,FALSE,FALSE,TRUE,3,"Amyloid-like protein 2"
"APMAP","Q9HDC9",-0.549,0.00566,0.0154,FALSE,FALSE,FALSE,0,"Adipocyte plasma membrane-associated protein"
"APOA1BP","Q8NCW5-2",-0.513,0.0209,0.0403,FALSE,FALSE,FALSE,0,"NAD(P)H-hydrate epimerase"
"APP","H7C0V9",-0.062,0.837,0.862,FALSE,FALSE,FALSE,0,"Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31"
"APPL1","Q9UKG1",-0.172,0.532,0.583,FALSE,FALSE,FALSE,0,"DCC-interacting protein 13-alpha"
"APRT","P07741",-0.0252,0.874,0.893,FALSE,FALSE,FALSE,0,"Adenine phosphoribosyltransferase"
"APTX","Q7Z2E3-9",-0.164,0.452,0.506,FALSE,FALSE,FALSE,0,"Aprataxin"
"AQR","O60306",-0.57,0.011,0.0248,FALSE,FALSE,FALSE,0,"Intron-binding protein aquarius"
"ARAF","P10398",0.323,0.678,0.72,FALSE,FALSE,FALSE,0,"Serine/threonine-protein kinase A-Raf;RAF proto-oncogene serine/threonine-protein kinase"
"ARAP1","Q96P48-3",-0.182,0.206,0.258,FALSE,FALSE,FALSE,0,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1"
"ARCN1","P48444",-0.664,0.000896,0.00447,FALSE,FALSE,FALSE,0,"Coatomer subunit delta"
"ARF1","P84077",-0.305,0.0412,0.0682,FALSE,FALSE,FALSE,0,"ADP-ribosylation factor 1;ADP-ribosylation factor 3"
"ARF4","P18085",-0.508,0.0214,0.041,FALSE,FALSE,FALSE,0,"ADP-ribosylation factor 4"
"ARF5","P84085",-0.263,0.251,0.306,FALSE,FALSE,FALSE,0,"ADP-ribosylation factor 5"
"ARFGEF1","Q9Y6D6",-0.388,0.324,0.38,FALSE,FALSE,FALSE,0,"Brefeldin A-inhibited guanine nucleotide-exchange protein 1"
"ARFGEF2","Q9Y6D5",-0.97,0.00256,0.00887,FALSE,FALSE,FALSE,0,"Brefeldin A-inhibited guanine nucleotide-exchange protein 2"
"ARFIP1","P53367-2",-0.797,0.186,0.237,FALSE,FALSE,TRUE,1,"Arfaptin-1"
"ARFIP2","P53365",-0.488,0.173,0.223,FALSE,FALSE,TRUE,3,"Arfaptin-2"
"ARG1","P05089",0.705,0.531,0.582,FALSE,FALSE,FALSE,0,"Arginase-1"
"argC","P11446",0.7,0.11,0.151,FALSE,FALSE,FALSE,0,"N-acetyl-gamma-glutamyl-phosphate reductase"
"argD","P18335",0.65,0.454,0.508,FALSE,FALSE,FALSE,0,"Acetylornithine/succinyldiaminopimelate aminotransferase"
"ARGLU1","Q9NWB6",-0.196,0.234,0.288,FALSE,FALSE,FALSE,0,"Arginine and glutamate-rich protein 1"
"argT","P09551",0.883,0.000491,0.00309,FALSE,FALSE,FALSE,0,"Lysine-arginine-ornithine-binding periplasmic protein"
"ARHGAP1","Q07960",-0.645,0.00197,0.00743,FALSE,FALSE,FALSE,0,"Rho GTPase-activating protein 1"
"ARHGAP17","Q68EM7-2",-1.46,0.13,0.174,FALSE,FALSE,TRUE,4,"Rho GTPase-activating protein 17"
"ARHGAP35","Q9NRY4-2",0.13,0.487,0.54,FALSE,FALSE,FALSE,0,"Rho GTPase-activating protein 35"
"ARHGDIA","P52565",-0.634,0.00289,0.00968,FALSE,FALSE,FALSE,0,"Rho GDP-dissociation inhibitor 1"
"ARHGEF1","Q92888",-0.445,0.108,0.149,FALSE,FALSE,FALSE,0,"Rho guanine nucleotide exchange factor 1"
"ARHGEF10","H0YAN8",-1.59,0.0279,0.0503,FALSE,FALSE,TRUE,1,"Rho guanine nucleotide exchange factor 10"
"ARHGEF2","Q92974-3",-0.67,0.00462,0.0133,FALSE,FALSE,FALSE,0,"Rho guanine nucleotide exchange factor 2"
"ARHGEF7","Q14155-6",-0.211,0.346,0.402,FALSE,FALSE,FALSE,0,"Rho guanine nucleotide exchange factor 7"
"ARID1A","O14497",-0.584,0.00344,0.0108,FALSE,FALSE,FALSE,0,"AT-rich interactive domain-containing protein 1A"
"ARID1B","Q8NFD5-4",-0.761,0.04,0.0664,FALSE,FALSE,FALSE,0,"AT-rich interactive domain-containing protein 1B"
"ARID2","Q68CP9",-0.493,0.0744,0.11,FALSE,FALSE,FALSE,0,"AT-rich interactive domain-containing protein 2"
"ARID4A","P29374-3",-1.23,0.176,0.226,FALSE,FALSE,TRUE,1,"AT-rich interactive domain-containing protein 4A"
"ARID4B","Q4LE39-2",-0.933,0.00283,0.00953,FALSE,FALSE,FALSE,0,"AT-rich interactive domain-containing protein 4B"
"ARL1","B4DWW1",-0.0229,0.935,0.946,FALSE,FALSE,FALSE,0,"ADP-ribosylation factor-like protein 1"
"ARL3","P36405",-0.917,0.00523,0.0146,FALSE,FALSE,FALSE,0,"ADP-ribosylation factor-like protein 3"
"ARL6IP5","F8WF90",-0.264,0.0664,0.0999,FALSE,FALSE,FALSE,0,"PRA1 family protein 3"
"ARMC6","B4E1N1",-0.363,0.0266,0.0485,FALSE,FALSE,FALSE,0,"Armadillo repeat-containing protein 6"
"aroE","P15770",0.927,0.00502,0.0141,FALSE,FALSE,FALSE,0,"Shikimate dehydrogenase"
"aroG","P0AB91",0.867,0.00065,0.00368,FALSE,FALSE,FALSE,0,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive"
"aroK","P0A6D7",0.745,0.0114,0.0254,FALSE,FALSE,FALSE,0,"Shikimate kinase 1"
"ARPC1A","E9PF58",-0.533,0.307,0.363,FALSE,FALSE,FALSE,0,"Actin-related protein 2/3 complex subunit 1A"
"ARPC1B","O15143",-0.848,0.00647,0.0168,FALSE,FALSE,FALSE,0,"Actin-related protein 2/3 complex subunit 1B"
"ARPC2","O15144",-0.769,0.025,0.0462,FALSE,FALSE,FALSE,0,"Actin-related protein 2/3 complex subunit 2"
"ARPC3","O15145",-0.691,0.0148,0.031,FALSE,FALSE,FALSE,0,"Actin-related protein 2/3 complex subunit 3"
"ARPC4","P59998",-0.428,0.042,0.0691,FALSE,FALSE,FALSE,0,"Actin-related protein 2/3 complex subunit 4"
"ARPC5","O15511",0.0261,0.951,0.96,FALSE,FALSE,FALSE,0,"Actin-related protein 2/3 complex subunit 5"
"ARRB2","P32121-2",-0.69,0.233,0.287,FALSE,FALSE,FALSE,0,"Beta-arrestin-2"
"ASAH1","E7EMM4",-1.83,0.0497,0.0791,FALSE,FALSE,TRUE,2,"Acid ceramidase;Acid ceramidase subunit alpha;Acid ceramidase subunit beta"
"ASB9","Q96DX5-2",-0.921,0.251,0.306,FALSE,FALSE,TRUE,2,"Ankyrin repeat and SOCS box protein 9"
"ASCC2","B1AH59",-1.13,0.0512,0.0809,FALSE,FALSE,FALSE,0,"Activating signal cointegrator 1 complex subunit 2"
"ASCC3","Q8N3C0",-0.747,0.0584,0.0901,FALSE,FALSE,FALSE,0,"Activating signal cointegrator 1 complex subunit 3"
"ASF1B","Q9NVP2",-0.245,0.283,0.339,FALSE,FALSE,FALSE,0,"Histone chaperone ASF1B"
"ASH2L","F5H8F7",-0.435,0.265,0.321,FALSE,FALSE,FALSE,0,"Set1/Ash2 histone methyltransferase complex subunit ASH2"
"asmA","P28249",0.92,0.00138,0.00585,FALSE,FALSE,FALSE,0,"Protein AsmA"
"ASNA1","O43681",-0.418,0.00863,0.0208,FALSE,FALSE,FALSE,0,"ATPase ASNA1"
"asnC","P0ACI6",0.698,0.0491,0.0783,FALSE,FALSE,TRUE,1,"Regulatory protein AsnC"
"asnS","P0A8M0",0.944,0.000489,0.00308,FALSE,FALSE,FALSE,0,"Asparagine--tRNA ligase"
"ASNS","E9PCI3",-0.394,0.0103,0.0237,FALSE,FALSE,FALSE,0,"Asparagine synthetase;Asparagine synthetase [glutamine-hydrolyzing]"
"ASPH","F5H667",-0.296,0.173,0.222,FALSE,FALSE,FALSE,0,"Aspartyl/asparaginyl beta-hydroxylase"
"ASS1","P00966",-0.601,0.00155,0.00631,FALSE,FALSE,FALSE,0,"Argininosuccinate synthase"
"Asun","Q9NVM9",-0.643,0.02,0.0391,FALSE,FALSE,FALSE,0,"Protein asunder homolog"
"ATAD2","Q6PL18",-0.244,0.532,0.583,FALSE,FALSE,FALSE,0,"ATPase family AAA domain-containing protein 2"
"ATAD3A","Q9NVI7-2",-0.712,0.00892,0.0213,FALSE,FALSE,FALSE,0,"ATPase family AAA domain-containing protein 3A;ATPase family AAA domain-containing protein 3B"
"ATAD5","Q96QE3",-1.79,0.0767,0.112,FALSE,FALSE,TRUE,1,"ATPase family AAA domain-containing protein 5"
"ATF1","B4DRF9",-0.326,0.173,0.223,FALSE,FALSE,FALSE,0,"Cyclic AMP-dependent transcription factor ATF-1"
"ATF7","P17544-2",0.00719,0.991,0.992,FALSE,FALSE,TRUE,1,"Cyclic AMP-dependent transcription factor ATF-7"
"ATG16L1","Q676U5-5",-0.364,0.288,0.344,FALSE,FALSE,TRUE,2,"Autophagy-related protein 16-1"
"ATG3","Q9NT62-2",-0.699,0.0403,0.0669,FALSE,FALSE,FALSE,0,"Ubiquitin-like-conjugating enzyme ATG3"
"ATG5","Q9H1Y0-2",-0.964,0.155,0.203,FALSE,FALSE,FALSE,0,"Autophagy protein 5"
"ATG7","E9PB95",0.237,0.47,0.524,FALSE,FALSE,TRUE,3,"Ubiquitin-like modifier-activating enzyme ATG7"
"ATIC","P31939",-0.483,0.00439,0.0128,FALSE,FALSE,FALSE,0,"Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase"
"ATL3","F5H6I7",-0.515,0.00583,0.0156,FALSE,FALSE,FALSE,0,"Atlastin-3"
"ATM","Q13315",0.00218,0.995,0.996,FALSE,FALSE,TRUE,3,"Serine-protein kinase ATM"
"atoC","Q06065",1.46,0.0641,0.0971,FALSE,FALSE,FALSE,0,"Acetoacetate metabolism regulatory protein AtoC"
"ATP1A1","B7Z3U6",-0.711,0.00114,0.00516,FALSE,FALSE,FALSE,0,"Sodium/potassium-transporting ATPase subunit alpha-1"
"ATP1B1","P05026-2",-0.835,0.00343,0.0108,FALSE,FALSE,FALSE,0,"Sodium/potassium-transporting ATPase subunit beta-1"
"ATP1B3","P54709",-0.561,0.00969,0.0226,FALSE,FALSE,FALSE,0,"Sodium/potassium-transporting ATPase subunit beta-3"
"ATP2A2","P16615-5",-0.524,0.00368,0.0113,FALSE,FALSE,FALSE,0,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2"
"ATP5A1","P25705",-0.656,0.00314,0.0102,FALSE,FALSE,FALSE,0,"ATP synthase subunit alpha, mitochondrial;ATP synthase subunit alpha"
"ATP5B","P06576",-0.418,0.00977,0.0228,FALSE,FALSE,FALSE,0,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta"
"ATP5C1","B4DL14",-0.33,0.0357,0.0609,FALSE,FALSE,FALSE,0,"ATP synthase gamma chain;ATP synthase subunit gamma, mitochondrial"
"ATP5D","P30049",-0.64,0.0134,0.0287,FALSE,FALSE,FALSE,0,"ATP synthase subunit delta, mitochondrial"
"ATP5F1","P24539",-0.681,0.0567,0.0878,FALSE,FALSE,FALSE,0,"ATP synthase subunit b, mitochondrial"
"ATP5H","O75947",-0.682,0.0161,0.033,FALSE,FALSE,FALSE,0,"ATP synthase subunit d, mitochondrial"
"ATP5I","P56385",-0.262,0.326,0.381,FALSE,FALSE,FALSE,0,"ATP synthase subunit e, mitochondrial"
"ATP5L","O75964",-0.557,0.049,0.0781,FALSE,FALSE,FALSE,0,"ATP synthase subunit g, mitochondrial"
"ATP5O","P48047",-0.456,0.0229,0.0432,FALSE,FALSE,FALSE,0,"ATP synthase subunit O, mitochondrial"
"ATP6AP1","Q15904",-0.674,0.0112,0.0252,FALSE,FALSE,FALSE,0,"V-type proton ATPase subunit S1"
"ATP6AP2","B7Z413",-0.598,0.195,0.246,FALSE,FALSE,FALSE,0,"Renin receptor"
"ATP6V0A1","B7Z641",-2.12,0.0415,0.0686,FALSE,FALSE,TRUE,1,"V-type proton ATPase 116 kDa subunit a isoform 1"
"ATP6V1A","B7Z1R5",-0.439,0.0257,0.0471,FALSE,FALSE,FALSE,0,"V-type proton ATPase catalytic subunit A"
"ATP6V1B2","P21281",-0.894,0.000623,0.00359,FALSE,FALSE,FALSE,0,"V-type proton ATPase subunit B, brain isoform"
"ATP6V1C1","P21283",-0.217,0.556,0.605,FALSE,FALSE,FALSE,0,"V-type proton ATPase subunit C 1"
"ATP6V1E1","A8MUN4",-0.301,0.39,0.446,FALSE,FALSE,TRUE,1,"V-type proton ATPase subunit E 1"
"ATP6V1G1","O75348",-1.48,0.107,0.148,FALSE,FALSE,TRUE,1,"V-type proton ATPase subunit G 1;V-type proton ATPase subunit G 2"
"ATP6V1H","Q9UI12-2",-0.172,0.244,0.3,FALSE,FALSE,FALSE,0,"V-type proton ATPase subunit H"
"atpA","P0ABB0",0.971,9.34e-05,0.00135,FALSE,FALSE,FALSE,0,"ATP synthase subunit alpha"
"atpF","P0ABA0",0.928,0.00322,0.0103,FALSE,FALSE,FALSE,0,"ATP synthase subunit b"
"atpG","P0ABA6",0.977,0.000182,0.00176,FALSE,FALSE,FALSE,0,"ATP synthase gamma chain"
"ATR","Q13535-2",-1,0.0122,0.0268,FALSE,FALSE,FALSE,0,"Serine/threonine-protein kinase ATR"
"ATRIP","B5MEB7",-1.26,0.0771,0.113,FALSE,FALSE,TRUE,4,"ATR-interacting protein"
"ATXN10","Q9UBB4-2",-0.655,0.00477,0.0136,FALSE,FALSE,FALSE,0,"Ataxin-10"
"AUP1","Q9Y679-2",-0.42,0.056,0.0869,FALSE,FALSE,FALSE,0,"Ancient ubiquitous protein 1"
"AURKA","A3KFJ0",-0.239,0.497,0.55,FALSE,FALSE,FALSE,0,"Aurora kinase A"
"AURKB","B4DNM4",-0.34,0.692,0.733,FALSE,FALSE,TRUE,2,"Aurora kinase B"
"AVL9","H7C0I1",-0.373,0.0926,0.131,FALSE,FALSE,FALSE,0,"Late secretory pathway protein AVL9 homolog"
"avtA","P09053",0.349,0.358,0.414,FALSE,FALSE,FALSE,0,"Valine--pyruvate aminotransferase"
"AZGP1","C9JEV0",-1.3,0.249,0.304,FALSE,FALSE,TRUE,1,"Zinc-alpha-2-glycoprotein"
"AZI1","Q9UPN4-3",-0.358,0.0473,0.0759,FALSE,FALSE,FALSE,0,"5-azacytidine-induced protein 1"
"B2M","P61769",-0.733,0.192,0.243,FALSE,FALSE,FALSE,0,"Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3"
"BABAM1","Q9NWV8",-0.394,0.113,0.156,FALSE,FALSE,FALSE,0,"BRISC and BRCA1-A complex member 1"
"baeS","P30847",-3.92,0.0472,0.0758,FALSE,FALSE,TRUE,2,"Signal transduction histidine-protein kinase BaeS"
"BAG2","O95816",-0.255,0.199,0.251,FALSE,FALSE,FALSE,0,"BAG family molecular chaperone regulator 2"
"BAG6","E7EMZ4",-0.44,0.0164,0.0334,FALSE,FALSE,FALSE,0,"Large proline-rich protein BAG6"
"BAIAP2","B4DWA1",-0.375,0.0528,0.0829,FALSE,FALSE,FALSE,0,"Brain-specific angiogenesis inhibitor 1-associated protein 2"
"BANP","Q8N9N5-4",-0.218,0.704,0.743,FALSE,FALSE,FALSE,0,"Protein BANP"
